,date,day,item_name,package_id_unique,min_package_id,max_package_id,campaign_unique,min_campaign,max_campaign,qty_min,qty_mean,qty_max,qty_stdev,qty_unique,qty_sum,unit_price_min,unit_price_mean,unit_price_max,unit_price_stdev,unit_price_unique,unit_price_sum,sale_amount_min,sale_amount_mean,sale_amount_max,sale_amount_stdev,sale_amount_unique,sale_amount_sum,metro_area,county_1,total_market_sales
57,2018-11-03,Sat,Air Heads,1,9000000758,9000000758,4,discount_type_3,discount_type_1,0.48,2.45673913043478,13.12,3.12097424557555,16,113.01,1.07,1.8054347826087,2.53,0.373397057190923,19,83.05,0.9,3.6954347826087,16.16,3.58650043389358,22,169.99,,,
58,2018-11-03,Sat,Milky Way,1,9000000766,9000000766,4,discount_type_7,discount_type_1,0.47,1.96076923076923,6.54,2.10660651894012,6,25.49,1.55,1.92076923076923,2.39,0.33559552883547,7,24.97,1.0,3.40384615384615,10.79,3.3846332604423,8,44.25,,,
59,2018-11-03,Sat,Nestle Butterfinger,1,9000000764,9000000764,3,discount_type_13,discount_type_1,0.83,2.73722222222222,6.51,1.63983071420248,5,49.27,1.35,1.61111111111111,2.07,0.158889117418365,7,29.0,1.29,4.41888888888889,10.81,2.72358519967143,7,79.54,,,
60,2018-11-03,Sat,Reeses Miniatures,1,A000005754,A000005754,4,discount_type_13,discount_type_215,0.47,2.56722222222222,13.07,2.94226114322312,14,92.42,1.24,1.59972222222222,2.36,0.273553192645139,15,57.59,0.9,3.76833333333333,19.4,3.92632834665089,15,135.66,,,
61,2018-11-03,Sat,Reeses Peanut Butter cup,1,9000000761,9000000761,2,discount_type_15,discount_type_15,1.67,1.67,1.67,0.0,1,5.01,1.35,1.52,1.86,0.294448637286709,2,4.56,2.25,2.53666666666667,3.11,0.49652123150308,2,7.61,,,
62,2018-11-03,Sat,Reeses pieces,1,9000000763,9000000763,2,discount_type_1,discount_type_1,1.63,2.628,6.55,2.06714403089007,4,26.28,1.29,1.482,1.82,0.226607835502465,4,14.82,2.1,4.06,10.81,3.57557765340869,4,40.6,,,
63,2018-11-03,Sat,Skittles original,1,9000000760,9000000760,3,discount_type_1,discount_type_13,0.51,1.23125,1.67,0.597266092888493,3,9.85,1.65,1.77,1.87,0.0785584404849562,4,14.16,0.91,2.16875,3.1,1.05033923091542,4,17.35,,,
64,2018-11-03,Sat,Snickers,1,9000000765,9000000765,3,discount_type_13,discount_type_1,0.48,2.77714285714286,13.08,2.7358983319085,9,77.76,1.24,1.62785714285714,2.5,0.320744009416729,13,45.58,1.06,4.16607142857143,21.58,4.05597349988212,14,116.65,,,
65,2018-11-03,Sat,Starburst,1,9000000762,9000000762,3,discount_type_13,discount_type_1,0.98,3.04478260869565,13.04,2.75891755711484,7,70.03,1.24,1.63652173913043,2.12,0.247948101161443,9,37.64,2.08,4.68217391304348,16.17,3.51161702783741,9,107.69,,,
66,2018-11-04,Sun,100 Grand,1,9000000759,9000000759,3,discount_type_13,discount_type_15,0.5,1.292,3.29,1.22644608523979,3,6.46,1.65,1.782,1.86,0.0782304288624315,3,8.91,0.9,2.248,5.43,2.01986880762093,3,11.24,,,
67,2018-11-04,Sun,3 Musketeers,1,9000000757,9000000757,3,discount_type_3,discount_type_1,1.63,1.63666666666667,1.65,0.00778498944163382,3,19.64,1.08,1.37166666666667,1.83,0.316826116156462,3,16.46,1.76,2.24666666666667,3.02,0.529894214714483,3,26.96,,,
68,2018-11-04,Sun,Air Heads,1,9000000758,9000000758,3,discount_type_3,discount_type_215,0.48,2.17380952380952,13.02,2.62018029187015,7,45.65,1.08,1.52142857142857,2.12,0.37980634163065,9,31.95,0.9,3.03714285714286,16.14,3.25367045482044,9,63.78,,,
69,2018-11-04,Sun,Milky Way,1,9000000766,9000000766,3,discount_type_1,discount_type_215,0.49,2.18888888888889,13.02,2.77311226494474,7,39.4,1.24,1.68444444444444,2.21,0.280277640127705,10,30.32,0.91,3.34388888888889,16.14,3.37979661568543,9,60.19,,,
70,2018-11-04,Sun,Nestle Butterfinger,1,9000000764,9000000764,6,discount_type_2,discount_type_215,0.5,2.03133333333333,3.26,1.11468039408271,6,30.47,1.08,1.54466666666667,2.43,0.491918498863185,6,23.17,1.22,2.666,3.52,0.918568762493355,6,39.99,,,
71,2018-11-04,Sun,Reeses Miniatures,1,A000005754,A000005754,5,discount_type_1,discount_type_215,1.64,1.65809523809524,1.67,0.00928388260319754,4,34.82,1.37,1.62809523809524,2.1,0.236423751929013,9,34.19,2.26,2.69904761904762,3.46,0.391878868553856,10,56.68,,,
72,2018-11-04,Sun,Reeses Peanut Butter cup,1,9000000761,9000000761,3,discount_type_2,discount_type_215,1.64,2.86375,6.52,2.25671023204765,3,22.91,1.58,1.63625,1.87,0.101127571484174,3,13.09,2.59,4.71375,10.82,3.77329313351462,3,37.71,,,
73,2018-11-04,Sun,Reeses pieces,1,9000000763,9000000763,2,discount_type_3,discount_type_215,1.63,1.63444444444444,1.65,0.00881917103691645,2,14.71,1.08,1.20333333333333,1.59,0.194679223339318,3,10.83,1.76,1.96777777777778,2.59,0.324259840936931,3,17.71,,,
74,2018-11-04,Sun,Skittles original,1,9000000760,9000000760,2,discount_type_215,discount_type_1,0.81,2.288,3.28,1.34924793866806,3,11.44,1.27,1.728,2.12,0.431358319729665,3,8.64,1.72,3.568,6.06,1.85506603656042,3,17.84,,,
75,2018-11-04,Sun,Snickers,1,9000000765,9000000765,5,discount_type_3,discount_type_215,0.47,1.48521739130435,6.54,1.29227730476515,10,34.16,1.08,1.65130434782609,2.55,0.462112779896719,11,37.98,0.91,2.17173913043478,8.44,1.61522205671236,10,49.95,,,
76,2018-11-04,Sun,Starburst,1,9000000762,9000000762,5,discount_type_215,discount_type_1,0.51,3.39125,13.02,3.13088885142862,7,54.26,1.08,1.58,2.39,0.471041399454443,8,25.28,1.22,4.903125,19.4,4.7822431539324,8,78.45,,,
